Project,Lennar Total,QB Total,Difference,Action Required
ACACIA SF,0.0,12857.77,-12857.77,Revisar proyecto ACACIA SF en QB por un descuadre de $12857.77
CENTURY PARK SQUARE NORTH (SUNSCAPE TH),0.0,14964.8,-14964.8,Revisar proyecto CENTURY PARK SQUARE NORTH (SUNSCAPE TH) en QB por un descuadre de $14964.80
DORAL - DAH - LENDLEASE VILLAS - 2515060,14964.8,0.0,14964.8,Revisar proyecto DORAL - DAH - LENDLEASE VILLAS - 2515060 en QB por un descuadre de $14964.80
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS -,19511.72,0.0,19511.72,Revisar proyecto FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS - en QB por un descuadre de $19511.72
FLORIDA CITY - DAH - LIME GROVE SFH AKA ACACIA SF -,12857.77,0.0,12857.77,Revisar proyecto FLORIDA CITY - DAH - LIME GROVE SFH AKA ACACIA SF - en QB por un descuadre de $12857.77
FLORIDA CITY - DAH - OCEAN GATE - 2511760,28523.790000000005,0.0,28523.79,Revisar proyecto FLORIDA CITY - DAH - OCEAN GATE - 2511760 en QB por un descuadre de $28523.79
FLORIDA CITY - DAH - PENN COVE VILLAS - 2513860,12253.35,0.0,12253.35,Revisar proyecto FLORIDA CITY - DAH - PENN COVE VILLAS - 2513860 en QB por un descuadre de $12253.35
FLORIDA CITY - DAH - SUNSCAPE TH - 2514160,15055.970000000001,0.0,15055.97,Revisar proyecto FLORIDA CITY - DAH - SUNSCAPE TH - 2514160 en QB por un descuadre de $15055.97
HOMESTEAD - DAH - KEYS GATE NORTH 40S - 938460,15493.13,0.0,15493.13,Revisar proyecto HOMESTEAD - DAH - KEYS GATE NORTH 40S - 938460 en QB por un descuadre de $15493.13
HOMESTEAD - DAH - KEYS GATE NORTH 50S - 938360,1033.1,0.0,1033.1,Revisar proyecto HOMESTEAD - DAH - KEYS GATE NORTH 50S - 938360 en QB por un descuadre de $1033.10
HOMESTEAD - DAH - KEYS GATE NORTH 60S - 938260,982.16,0.0,982.16,Revisar proyecto HOMESTEAD - DAH - KEYS GATE NORTH 60S - 938260 en QB por un descuadre de $982.16
HOMESTEAD - DAH - KEYS GATE NORTH THS - 938560,21192.69,0.0,21192.69,Revisar proyecto HOMESTEAD - DAH - KEYS GATE NORTH THS - 938560 en QB por un descuadre de $21192.69
HOMESTEAD - DAH - REDLANDS RIDGE SF - 2512060,4874.0,0.0,4874.0,Revisar proyecto HOMESTEAD - DAH - REDLANDS RIDGE SF - 2512060 en QB por un descuadre de $4874.00
HOMESTEAD - DAH - ST GERMAIN AKA LE JARDINE - 939460,12590.51,0.0,12590.51,Revisar proyecto HOMESTEAD - DAH - ST GERMAIN AKA LE JARDINE - 939460 en QB por un descuadre de $12590.51
HOMESTEAD - DAH - TERRA SOL - 939060,8028.759999999999,0.0,8028.76,Revisar proyecto HOMESTEAD - DAH - TERRA SOL - 939060 en QB por un descuadre de $8028.76
HOMESTEAD - DAH - WILDWOOD GROVES SF - 2510260,12129.029999999999,0.0,12129.03,Revisar proyecto HOMESTEAD - DAH - WILDWOOD GROVES SF - 2510260 en QB por un descuadre de $12129.03
KEYS GATE II 50S,0.0,1033.1,-1033.1,Revisar proyecto KEYS GATE II 50S en QB por un descuadre de $1033.10
KEYS GATE II VILLAS,0.0,22862.51,-22862.51,Revisar proyecto KEYS GATE II VILLAS en QB por un descuadre de $22862.51
KEYS GATE NORTH 40S,0.0,15493.13,-15493.13,Revisar proyecto KEYS GATE NORTH 40S en QB por un descuadre de $15493.13
KEYS GATE NORTH 60S,0.0,982.16,-982.16,Revisar proyecto KEYS GATE NORTH 60S en QB por un descuadre de $982.16
KEYS GATE NORTH THS,0.0,21192.69,-21192.69,Revisar proyecto KEYS GATE NORTH THS en QB por un descuadre de $21192.69
KOLTER VILLAS,0.0,19511.72,-19511.72,Revisar proyecto KOLTER VILLAS en QB por un descuadre de $19511.72
LE JARDINE,0.0,12590.51,-12590.51,Revisar proyecto LE JARDINE en QB por un descuadre de $12590.51
LENDLEASE VILLAS,0.0,14964.8,-14964.8,Revisar proyecto LENDLEASE VILLAS en QB por un descuadre de $14964.80
LOS CAYOS ( KEYS LAKE TH ),0.0,8028.76,-8028.76,Revisar proyecto LOS CAYOS ( KEYS LAKE TH ) en QB por un descuadre de $8028.76
MIAMI - DAH - KEYS GATE NORTH VILLAS - 938660,22862.510000000002,0.0,22862.51,Revisar proyecto MIAMI - DAH - KEYS GATE NORTH VILLAS - 938660 en QB por un descuadre de $22862.51
MIAMI - DAH - SOLSTICE TH - 2511360,34713.62,0.0,34713.62,Revisar proyecto MIAMI - DAH - SOLSTICE TH - 2511360 en QB por un descuadre de $34713.62
MIAMI - DAH - VIVANT - 2510460,32975.1,0.0,32975.1,Revisar proyecto MIAMI - DAH - VIVANT - 2510460 en QB por un descuadre de $32975.10
MIAMI - DAH - VIVANT - 2510660,32017.74,0.0,32017.74,Revisar proyecto MIAMI - DAH - VIVANT - 2510660 en QB por un descuadre de $32017.74
OCEAN GATE,0.0,28523.79,-28523.79,Revisar proyecto OCEAN GATE en QB por un descuadre de $28523.79
PENN COVE / LILY COVE,0.0,12253.35,-12253.35,Revisar proyecto PENN COVE / LILY COVE en QB por un descuadre de $12253.35
REDLAND RIDGE REDWOOD / REDLAND RIDGE SF,0.0,4874.0,-4874.0,Revisar proyecto REDLAND RIDGE REDWOOD / REDLAND RIDGE SF en QB por un descuadre de $4874.00
SOLSTICE TH,0.0,34713.62,-34713.62,Revisar proyecto SOLSTICE TH en QB por un descuadre de $34713.62
VIVANT - 2510660,0.0,32017.74,-32017.74,Revisar proyecto VIVANT - 2510660 en QB por un descuadre de $32017.74
VIVANT 2510460,0.0,32975.1,-32975.1,Revisar proyecto VIVANT 2510460 en QB por un descuadre de $32975.10
WILDWOOD GROVES SF,0.0,12129.029999999999,-12129.03,Revisar proyecto WILDWOOD GROVES SF en QB por un descuadre de $12129.03
