Project,Amount,Type,Action
ACACIA SF,306.59,Extra in QB,"SOBRA EN QB: Transacción por $306.59 (Name: LENNAR:ACACIA GROVES (LIME GROVE) SF:LOT01/08:X, Memo: 163771)"
ACACIA SF,2702.43,Extra in QB,"SOBRA EN QB: Transacción por $2,702.43 (Name: LENNAR:ACACIA GROVES (LIME GROVE) SF:LOT12/22:A, Memo: 164208)"
BREEZEWOOD VILLAS,10847.04,Extra in QB,"SOBRA EN QB: Transacción por $10,847.04 (Name: LENNAR:PALM GLADES VILLAS (BREEZEWOOD VILLAS):BLD04(08-14):A, Memo: 164225)"
BRIARCREST SF,1678.68,Extra in QB,"SOBRA EN QB: Transacción por $1,678.68 (Name: LENNAR:TREGOR NORTH SF (BRIARCREST):LOT01/01:B, Memo: 164229)"
BRIARCREST SF,2061.91,Extra in QB,"SOBRA EN QB: Transacción por $2,061.91 (Name: LENNAR:TREGOR NORTH SF (BRIARCREST):LOT03/01:B, Memo: 164228)"
BRIARCREST SF,2061.91,Extra in QB,"SOBRA EN QB: Transacción por $2,061.91 (Name: LENNAR:TREGOR NORTH SF (BRIARCREST):LOT03/01:B, Memo: 164228)"
CORAL BREEZE SF,1628.09,Extra in QB,"SOBRA EN QB: Transacción por $1,628.09 (Name: LENNAR:CENTURY ESTATES ROYAL SF- CORAL BREEZE SF:LOT16/01:B, Memo: 164210)"
CORAL BREEZE SF,1628.09,Extra in QB,"SOBRA EN QB: Transacción por $1,628.09 (Name: LENNAR:CENTURY ESTATES ROYAL SF- CORAL BREEZE SF:LOT16/01:B, Memo: 164210)"
DORAL DAH LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
DORAL DAH LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
DORAL DAH- LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
DORAL DAH- LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
DORAL-DAH-LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
DORAL-DAH-LENDLEASE VILLAS - 2515060,13220.24,Missing in QB,"FALTA EN QB: Pago de Lennar por $13,220.24 (Activity: T-Plumbing-Top Out)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,3128.42,Missing in QB,"FALTA EN QB: Pago de Lennar por $3,128.42 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,3128.42,Missing in QB,"FALTA EN QB: Pago de Lennar por $3,128.42 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,3128.42,Missing in QB,"FALTA EN QB: Pago de Lennar por $3,128.42 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1862.65,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,862.65 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1771.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,771.48 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1771.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,771.48 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1771.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,771.48 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1771.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,771.48 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,1771.48,Missing in QB,"FALTA EN QB: Pago de Lennar por $1,771.48 (Activity: T-Plumbing-Rough)"
FLORIDA CITY - DAH - LIME GROVE SFH AKA ACACIA SF,2702.43,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,702.43 (Activity: T-Plumbing-Rough)"
FLORIDA CITY DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
FLORIDA CITY DAH - ANTILLIA VILLAS AKA KOLTER VILLAS,2948.73,Missing in QB,"FALTA EN QB: Pago de Lennar por $2,948.73 (Activity: T-Plumbing-Final)"
