Proyecto,Fase,Memo QB,Monto Lennar,Monto QB,Diferencia,Acción Correctiva
ACACIA SF,C,N/A,$306.59,$0.00,$306.59,Corregir monto en Memo N/A. Falta $306.59
ACACIA SF,X,163771,$0.00,$306.59,$-306.59,Corregir monto en Memo 163771. Sobra $306.59
KEYS GATE NORTH THS,C,N/A,$503.62,$0.00,$503.62,Corregir monto en Memo N/A. Falta $503.62
KEYS GATE NORTH THS,X,"163920, 163921",$0.00,$503.62,$-503.62,"Corregir monto en Memo 163920, 163921. Sobra $503.62"
KOLTER VILLAS,C,164206,"$36,103.52","$36,124.84",$-21.32,Corregir monto en Memo 164206. Sobra $21.32
MIAMI-W-DAH - DORTA DUQUE VILLAS - 933660,X,N/A,$450.00,$0.00,$450.00,Corregir monto en Memo N/A. Falta $450.00
MIAMI-W-DAH - DORTA DUQUE VILLAS 933660,X,N/A,$900.00,$0.00,$900.00,Corregir monto en Memo N/A. Falta $900.00
REDLAND RIDGE REDWOOD / REDLAND RIDGE SF,C,N/A,"$1,150.75",$0.00,"$1,150.75","Corregir monto en Memo N/A. Falta $1,150.75"
REDLAND RIDGE REDWOOD / REDLAND RIDGE SF,X,"164006, 164008, 163875",$850.00,"$2,000.75","$-1,150.75","Corregir monto en Memo 164006, 164008, 163875. Sobra $1,150.75"
SOLSTICE TH,B,164233,"$14,714.79","$14,295.22",$419.57,Corregir monto en Memo 164233. Falta $419.57
SOLSTICE TH,X,"163736, 163886",$177.54,$597.11,$-419.57,"Corregir monto en Memo 163736, 163886. Sobra $419.57"
SP RESIDENTIAL VILLAS,X,"164235, 163998",$0.00,"$1,350.00","$-1,350.00","Corregir monto en Memo 164235, 163998. Sobra $1,350.00"
VIVANT - 2510660,A,164234,"$17,932.52","$17,672.52",$260.00,Corregir monto en Memo 164234. Falta $260.00
VIVANT 2510460,A,N/A,$350.00,$0.00,$350.00,Corregir monto en Memo N/A. Falta $350.00
VIVANT 2510460,X,163919,$0.00,$350.00,$-350.00,Corregir monto en Memo 163919. Sobra $350.00
